#,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,variant,stat_tier,type_combo,is_dual_type,offensive_power,defensive_bulk,speed_tier
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,,Average (400-499),Water / Fairy,True,22.6,73.0,Slow
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,,Average (400-499),Rock,False,34.699999999999996,67.5,Very Slow
186,Politoed,Water,,500,90,75,75,90,100,70,,Average (400-499),Water,False,59.5,76.1,Slow
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,,Very Weak (<300),Grass / Flying,True,4.3,9.5,Slow
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,,Weak (300-399),Grass / Flying,True,10.8,26.900000000000002,Average
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,,Average (400-499),Grass / Flying,True,22.6,62.3,Fast
190,Aipom,Normal,,360,55,70,55,40,55,85,,Weak (300-399),Normal,False,22.6,24.099999999999998,Average
191,Sunkern,Grass,,180,30,30,30,30,30,30,,Very Weak (<300),Grass,False,2.7,0.8999999999999999,Very Slow
192,Sunflora,Grass,,425,75,75,55,105,85,30,,Average (400-499),Grass,False,70.3,48.699999999999996,Very Slow
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,,Weak (300-399),Bug / Flying,True,41.6,19.7,Average
194,Wooper,Poison,Ground,210,55,45,45,25,25,15,Paldean,Very Weak (<300),Poison / Ground,True,4.3,7.6,Very Slow
194,Wooper,Water,Ground,210,55,45,45,25,25,15,,Very Weak (<300),Water / Ground,True,4.3,7.6,Very Slow
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,,Average (400-499),Water / Ground,True,50.3,64.9,Very Slow
196,Espeon,Psychic,,525,65,65,60,130,95,110,,Strong (500-579),Psychic,False,79.80000000000001,52.2,Fast
197,Umbreon,Dark,,525,95,65,110,60,130,65,,Strong (500-579),Dark,False,32.1,96.8,Slow
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,,Average (400-499),Dark / Flying,True,63.3,14.299999999999999,Average
199,Slowking,Poison,Psychic,490,95,65,80,110,110,30,Galarian,Average (400-499),Poison / Psychic,True,67.0,85.3,Very Slow
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,,Average (400-499),Water / Psychic,True,67.0,85.3,Very Slow
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,,Average (400-499),Ghost,False,46.0,43.6,Average
201,Unown,Psychic,,336,48,72,48,72,48,48,,Weak (300-399),Psychic,False,44.4,14.299999999999999,Slow
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,,Average (400-499),Psychic,False,3.5000000000000004,91.8,Very Slow
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,,Average (400-499),Normal / Psychic,True,63.3,41.0,Average
204,Pineco,Bug,,290,50,65,90,35,35,15,,Very Weak (<300),Bug,False,16.6,29.4,Very Slow
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,,Average (400-499),Bug / Steel,True,50.3,81.8,Very Slow
206,Dunsparce,Normal,,415,100,70,70,65,65,45,,Average (400-499),Normal,False,37.6,59.199999999999996,Very Slow
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,,Average (400-499),Ground / Flying,True,22.6,59.199999999999996,Average
208,Steelix,Steel,Ground,610,75,125,230,55,95,30,Mega,Very Strong (580-699),Steel / Ground,True,70.3,99.7,Very Slow
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,,Strong (500-579),Steel / Ground,True,41.6,97.1,Very Slow
209,Snubbull,Fairy,,300,60,80,50,40,40,30,,Very Weak (<300),Fairy,False,29.2,17.599999999999998,Very Slow
210,Granbull,Fairy,,450,90,120,75,60,60,45,,Average (400-499),Fairy,False,70.3,54.800000000000004,Very Slow
211,Qwilfish,Dark,Poison,440,65,95,85,55,55,85,Hisuian,Average (400-499),Dark / Poison,True,50.3,43.6,Average
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,,Average (400-499),Water / Poison,True,50.3,43.6,Average
212,Scizor,Bug,Steel,600,70,150,140,65,100,75,Mega,Very Strong (580-699),Bug / Steel,True,89.0,92.5,Average
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,,Average (400-499),Bug / Steel,True,74.0,67.5,Slow
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,,Strong (500-579),Bug / Rock,True,0.1,99.9,Very Slow
214,Heracross,Bug,Fighting,600,80,185,115,40,105,75,Mega,Very Strong (580-699),Bug / Fighting,True,91.60000000000001,89.9,Average
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,,Average (400-499),Bug / Fighting,True,59.5,67.5,Average
215,Sneasel,Fighting,Poison,430,55,95,55,35,75,115,Hisuian,Average (400-499),Fighting / Poison,True,34.699999999999996,33.800000000000004,Fast
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,,Average (400-499),Dark / Ice,True,34.699999999999996,33.800000000000004,Fast
216,Teddiursa,Normal,,330,60,80,50,50,50,40,,Weak (300-399),Normal,False,34.699999999999996,21.8,Very Slow
217,Ursaring,Normal,,500,90,130,75,75,75,55,,Average (400-499),Normal,False,85.2,62.3,Slow
218,Slugma,Fire,,250,40,40,40,70,40,20,,Very Weak (<300),Fire,False,22.6,6.1,Very Slow
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,,Average (400-499),Fire / Rock,True,41.6,73.0,Very Slow
220,SwinubIce,Ground,,250,50,50,40,30,30,50,,Very Weak (<300),Ground,False,6.5,6.1,Slow
221,PiloswineIce,Ground,,450,100,100,80,60,60,50,,Average (400-499),Ground,False,56.3,62.3,Slow
222,Corsola,Ghost,,410,60,55,100,65,100,30,Galarian,Average (400-499),Ghost,False,29.2,73.0,Very Slow
222,Corsola,Water,Rock,410,65,55,95,65,95,35,,Average (400-499),Water / Rock,True,29.2,70.39999999999999,Very Slow
223,Remoraid,Water,,300,35,65,35,65,35,65,,Very Weak (<300),Water,False,34.699999999999996,2.8000000000000003,Slow
224,Octillery,Water,,480,75,105,75,105,75,45,,Average (400-499),Water,False,87.3,54.800000000000004,Very Slow
225,DelibirdIce,Flying,,330,45,55,45,65,45,75,,Weak (300-399),Flying,False,29.2,11.5,Average
226,Mantine,Water,Flying,485,85,40,70,80,140,70,,Average (400-499),Water / Flying,True,29.2,88.4,Slow
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,,Average (400-499),Steel / Flying,True,29.2,81.8,Slow
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,,Weak (300-399),Dark / Fire,True,41.6,7.6,Slow
229,Houndoom,Dark,Fire,600,75,90,90,140,90,115,Mega,Very Strong (580-699),Dark / Fire,True,92.7,70.39999999999999,Fast
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,,Average (400-499),Dark / Fire,True,82.69999999999999,43.6,Average
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,,Strong (500-579),Water / Dragon,True,76.3,76.1,Average
231,Phanpy,Ground,,330,90,60,60,40,40,40,,Weak (300-399),Ground,False,16.6,36.4,Very Slow
232,Donphan,Ground,,500,90,120,120,60,60,50,,Average (400-499),Ground,False,70.3,78.9,Slow
233,Porygon2,Normal,,515,85,80,90,105,95,60,,Strong (500-579),Normal,False,74.0,78.9,Slow
234,Stantler,Normal,,465,73,95,62,85,65,85,,Average (400-499),Normal,False,70.3,41.0,Average
235,Smeargle,Normal,,250,55,20,35,20,45,75,,Very Weak (<300),Normal,False,0.6,11.5,Average
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,,Very Weak (<300),Fighting,False,4.3,2.8000000000000003,Very Slow
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,,Average (400-499),Fighting,False,34.699999999999996,70.39999999999999,Slow
238,SmoochumIce,Psychic,,305,45,30,15,85,65,65,,Weak (300-399),Psychic,False,25.7,7.6,Slow
239,Elekid,Electric,,360,45,63,37,65,55,95,,Weak (300-399),Electric,False,33.300000000000004,12.2,Average
240,Magby,Fire,,365,45,75,37,70,55,83,,Weak (300-399),Fire,False,46.0,12.2,Average
241,Miltank,Normal,,490,95,80,105,40,70,100,,Average (400-499),Normal,False,29.2,78.9,Average
242,Blissey,Normal,,540,255,10,10,75,135,55,,Strong (500-579),Normal,False,8.6,99.7,Slow
243,Raikou,Electric,,580,90,85,75,115,100,115,,Strong (500-579),Electric,False,82.69999999999999,76.1,Fast
244,Entei,Fire,,580,115,115,85,90,75,100,,Strong (500-579),Fire,False,85.2,81.8,Average
245,Suicune,Water,,580,100,75,115,90,115,85,,Strong (500-579),Water,False,59.5,95.89999999999999,Average
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,,Very Weak (<300),Rock / Ground,True,21.2,17.599999999999998,Very Slow
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,,Average (400-499),Rock / Ground,True,48.699999999999996,46.1,Slow
248,Tyranitar,Rock,Dark,700,100,164,150,95,120,71,Mega,Very Strong (580-699),Rock / Dark,True,96.7,98.8,Average
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,,Very Strong (580-699),Rock / Dark,True,92.2,92.5,Slow
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,,Very Strong (580-699),Psychic / Flying,True,70.3,99.5,Fast
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,,Very Strong (580-699),Fire / Flying,True,94.1,97.8,Average
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,,Very Strong (580-699),Psychic / Grass,True,82.69999999999999,89.9,Average
252,Treecko,Grass,,310,40,45,35,65,55,70,,Weak (300-399),Grass,False,22.6,9.5,Slow
253,Grovyle,Grass,,405,50,65,45,85,65,95,,Average (400-499),Grass,False,50.3,21.8,Average
254,Sceptile,Grass,Dragon,630,70,110,75,145,85,145,Mega,Very Strong (580-699),Grass / Dragon,True,96.5,57.099999999999994,Very Fast
254,Sceptile,Grass,,530,70,85,65,105,85,120,,Strong (500-579),Grass,False,76.3,52.2,Fast
255,Torchic,Fire,,310,45,60,40,70,50,45,,Weak (300-399),Fire,False,34.699999999999996,11.5,Very Slow
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,,Average (400-499),Fire / Fighting,True,63.3,31.6,Slow
257,Blaziken,Fire,Fighting,630,80,160,80,130,80,100,Mega,Very Strong (580-699),Fire / Fighting,True,99.0,62.3,Average
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,,Strong (500-579),Fire / Fighting,True,92.7,52.2,Average
258,Mudkip,Water,,310,50,70,50,50,50,40,,Weak (300-399),Water,False,29.2,17.599999999999998,Very Slow
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,,Average (400-499),Water / Ground,True,46.0,46.1,Slow
260,Swampert,Water,Ground,635,100,150,110,95,110,70,Mega,Very Strong (580-699),Water / Ground,True,94.8,94.5,Slow
260,Swampert,Water,Ground,535,100,110,90,85,90,60,,Strong (500-579),Water / Ground,True,79.80000000000001,83.6,Slow
261,Poochyena,Dark,,220,35,55,35,30,30,35,,Very Weak (<300),Dark,False,8.6,2.1,Very Slow
262,Mightyena,Dark,,420,70,90,70,60,60,70,,Average (400-499),Dark,False,50.3,41.0,Slow
263,Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,Galarian,Very Weak (<300),Dark / Normal,True,2.7,6.1,Slow
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,,Very Weak (<300),Normal,False,2.7,6.1,Slow
264,Linoone,Dark,Normal,420,78,70,61,50,61,100,Galarian,Average (400-499),Dark / Normal,True,29.2,41.0,Average
264,Linoone,Normal,,420,78,70,61,50,61,100,,Average (400-499),Normal,False,29.2,41.0,Average
265,Wurmple,Bug,,195,45,45,35,20,30,20,,Very Weak (<300),Bug,False,3.3000000000000003,3.4000000000000004,Very Slow
266,Silcoon,Bug,,205,50,35,55,25,25,15,,Very Weak (<300),Bug,False,2.7,9.5,Very Slow
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,,Weak (300-399),Bug / Flying,True,63.3,21.8,Slow
268,Cascoon,Bug,,205,50,35,55,25,25,15,,Very Weak (<300),Bug,False,2.7,9.5,Very Slow
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,,Weak (300-399),Bug / Poison,True,16.6,52.2,Slow
270,Lotad,Water,Grass,220,40,30,30,40,50,30,,Very Weak (<300),Water / Grass,True,4.3,6.1,Very Slow
271,Lombre,Water,Grass,340,60,50,50,60,70,50,,Weak (300-399),Water / Grass,True,22.6,31.6,Slow
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,,Average (400-499),Water / Grass,True,56.3,67.5,Slow
273,Seedot,Grass,,220,40,40,50,30,30,30,,Very Weak (<300),Grass,False,4.3,6.1,Very Slow
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,,Weak (300-399),Grass / Dark,True,34.699999999999996,17.599999999999998,Slow
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,,Average (400-499),Grass / Dark,True,76.3,46.1,Average
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,,Very Weak (<300),Normal / Flying,True,8.6,2.1,Average
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,,Average (400-499),Normal / Flying,True,56.3,26.900000000000002,Fast
278,Wingull,Water,Flying,270,40,30,30,55,30,85,,Very Weak (<300),Water / Flying,True,8.6,2.1,Average
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,,Average (400-499),Water / Flying,True,46.0,57.099999999999994,Slow
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,,Very Weak (<300),Psychic / Fairy,True,4.3,0.6,Very Slow
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,,Very Weak (<300),Psychic / Fairy,True,16.6,8.4,Slow
282,Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,Mega,Very Strong (580-699),Psychic / Fairy,True,95.6,77.60000000000001,Average
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,,Strong (500-579),Psychic / Fairy,True,76.3,65.8,Average
283,Surskit,Bug,Water,269,40,30,32,50,52,65,,Very Weak (<300),Bug / Water,True,6.5,7.1,Slow
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,,Average (400-499),Bug / Flying,True,56.3,47.4,Average
285,Shroomish,Grass,,295,60,40,60,40,60,35,,Very Weak (<300),Grass,False,6.5,31.6,Very Slow
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,,Average (400-499),Grass / Fighting,True,76.3,41.0,Slow
287,Slakoth,Normal,,280,60,60,60,35,35,30,,Very Weak (<300),Normal,False,13.8,19.7,Very Slow
288,Vigoroth,Normal,,440,80,80,80,55,55,90,,Average (400-499),Normal,False,37.6,48.699999999999996,Average
289,Slaking,Normal,,670,150,160,100,95,65,100,,Very Strong (580-699),Normal,False,96.5,93.5,Average
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,,Very Weak (<300),Bug / Ground,True,5.2,18.5,Very Slow
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,,Average (400-499),Bug / Flying,True,41.6,20.5,Very Fast
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,,Very Weak (<300),Bug / Ghost,True,29.2,0.3,Very Slow
293,Whismur,Normal,,240,64,51,23,51,23,28,,Very Weak (<300),Normal,False,18.099999999999998,3.4000000000000004,Very Slow
294,Loudred,Normal,,360,84,71,43,71,43,48,,Weak (300-399),Normal,False,43.9,26.900000000000002,Slow
295,Exploud,Normal,,490,104,91,63,91,73,68,,Average (400-499),Normal,False,72.3,62.3,Slow
296,Makuhita,Fighting,,237,72,60,30,20,30,25,,Very Weak (<300),Fighting,False,6.5,10.6,Very Slow
297,Hariyama,Fighting,,474,144,120,60,40,60,50,,Average (400-499),Fighting,False,56.3,75.1,Slow
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,,Very Weak (<300),Normal / Fairy,True,0.6,9.5,Very Slow
299,Nosepass,Rock,,375,30,45,135,45,90,30,,Weak (300-399),Rock,False,10.8,70.39999999999999,Very Slow
300,Skitty,Normal,,260,50,45,45,35,35,50,,Very Weak (<300),Normal,False,6.5,9.5,Slow
301,Delcatty,Normal,,400,70,65,65,55,55,90,,Weak (300-399),Normal,False,29.2,36.4,Average
302,Sableye,Dark,Ghost,480,50,85,125,85,115,20,Mega,Average (400-499),Dark / Ghost,True,63.3,87.0,Very Slow
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,,Weak (300-399),Dark / Ghost,True,41.6,36.4,Slow
303,Mawile,Steel,Fairy,480,50,105,125,55,95,50,Mega,Average (400-499),Steel / Fairy,True,56.3,78.9,Slow
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,,Weak (300-399),Steel / Fairy,True,41.6,36.4,Slow
304,Aron,Steel,Rock,330,50,70,100,40,40,30,,Weak (300-399),Steel / Rock,True,22.6,36.4,Very Slow
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,,Average (400-499),Steel / Rock,True,41.6,67.5,Very Slow
306,Aggron,Steel,,630,70,140,230,60,80,50,Mega,Very Strong (580-699),Steel,False,82.69999999999999,99.2,Slow
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,,Strong (500-579),Steel / Rock,True,63.3,92.5,Slow
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,,Very Weak (<300),Fighting / Psychic,True,6.5,13.3,Slow
308,Medicham,Fighting,Psychic,510,60,100,85,80,85,100,Mega,Strong (500-579),Fighting / Psychic,True,70.3,57.099999999999994,Average
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,,Average (400-499),Fighting / Psychic,True,29.2,46.1,Average
309,Electrike,Electric,,295,40,45,40,65,40,65,,Very Weak (<300),Electric,False,22.6,6.1,Slow
310,Manectric,Electric,,575,70,75,80,135,80,135,Mega,Strong (500-579),Electric,False,87.3,57.099999999999994,Very Fast
310,Manectric,Electric,,475,70,75,60,105,60,105,,Average (400-499),Electric,False,70.3,36.4,Fast
311,Plusle,Electric,,405,60,50,40,85,75,95,,Average (400-499),Electric,False,37.6,29.4,Average
312,Minun,Electric,,405,60,40,50,75,85,95,,Average (400-499),Electric,False,25.7,39.2,Average
313,Volbeat,Bug,,430,65,73,75,47,85,85,,Average (400-499),Bug,False,29.2,54.800000000000004,Average
314,Illumise,Bug,,430,65,47,75,73,85,85,,Average (400-499),Bug,False,29.2,54.800000000000004,Average
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,,Weak (300-399),Grass / Poison,True,56.3,29.4,Slow
316,Gulpin,Poison,,302,70,43,53,43,53,40,,Weak (300-399),Poison,False,9.3,30.2,Very Slow
317,Swalot,Poison,,467,100,73,83,73,83,55,,Average (400-499),Poison,False,47.699999999999996,77.0,Slow
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,,Weak (300-399),Water / Dark,True,53.300000000000004,0.4,Slow
319,Sharpedo,Water,Dark,560,70,140,70,110,65,105,Mega,Strong (500-579),Water / Dark,True,95.6,43.6,Fast
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,,Average (400-499),Water / Dark,True,89.0,17.599999999999998,Average
320,Wailmer,Water,,400,130,70,35,70,35,60,,Weak (300-399),Water,False,41.6,41.0,Slow
321,Wailord,Water,,500,170,90,45,90,45,60,,Average (400-499),Water,False,70.3,73.0,Slow
322,Numel,Fire,Ground,305,60,60,40,65,45,35,,Weak (300-399),Fire / Ground,True,32.1,15.2,Very Slow
323,Camerupt,Fire,Ground,560,70,120,100,145,105,20,Mega,Strong (500-579),Fire / Ground,True,97.6,81.8,Very Slow
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,,Average (400-499),Fire / Ground,True,85.2,48.699999999999996,Very Slow
324,Torkoal,Fire,,470,70,85,140,85,70,20,,Average (400-499),Fire,False,63.3,83.6,Very Slow
325,Spoink,Psychic,,330,60,25,35,70,80,60,,Weak (300-399),Psychic,False,13.8,29.4,Slow
326,Grumpig,Psychic,,470,80,45,65,90,110,80,,Average (400-499),Psychic,False,37.6,70.39999999999999,Average
327,Spinda,Normal,,360,60,60,60,60,60,60,,Weak (300-399),Normal,False,29.2,31.6,Slow
328,Trapinch,Ground,,290,45,100,45,45,45,10,,Very Weak (<300),Ground,False,46.0,11.5,Very Slow
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,,Weak (300-399),Ground / Dragon,True,29.2,17.599999999999998,Slow
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,,Strong (500-579),Ground / Dragon,True,70.3,62.3,Average
331,Cacnea,Grass,,335,50,85,40,85,40,35,,Weak (300-399),Grass,False,63.3,9.5,Very Slow
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,,Average (400-499),Grass / Dark,True,92.7,36.4,Slow
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,,Weak (300-399),Normal / Flying,True,6.5,31.6,Slow
334,Altaria,Dragon,Fairy,590,75,110,110,110,105,80,Mega,Very Strong (580-699),Dragon / Fairy,True,90.4,87.0,Average
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,,Average (400-499),Dragon / Flying,True,41.6,78.9,Average
335,Zangoose,Normal,,458,73,115,60,60,60,90,,Average (400-499),Normal,False,67.0,38.1,Average
336,Seviper,Poison,,458,73,100,60,100,60,65,,Average (400-499),Poison,False,82.69999999999999,38.1,Slow
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,,Average (400-499),Rock / Psychic,True,50.3,62.3,Slow
338,Sol,Rock,Psychic,460,90,95,85,55,65,70,,Average (400-499),Rock / Psychic,True,50.3,62.3,Slow
339,Barboach,Water,Ground,288,50,48,43,46,41,60,,Very Weak (<300),Water / Ground,True,13.200000000000001,11.0,Slow
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,,Average (400-499),Water / Ground,True,52.300000000000004,69.19999999999999,Slow
341,Corphish,Water,,308,43,80,65,50,35,35,,Weak (300-399),Water,False,34.699999999999996,14.000000000000002,Very Slow
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,,Average (400-499),Water / Dark,True,87.3,42.5,Slow
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,,Very Weak (<300),Ground / Psychic,True,6.5,24.099999999999998,Slow
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,,Average (400-499),Ground / Psychic,True,41.6,85.3,Average
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,,Weak (300-399),Rock / Grass,True,18.099999999999998,57.099999999999994,Very Slow
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,,Average (400-499),Rock / Grass,True,57.9,87.0,Very Slow
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,,Weak (300-399),Rock / Bug,True,37.6,15.2,Average
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,,Average (400-499),Rock / Bug,True,79.80000000000001,70.39999999999999,Very Slow
349,Feebas,Water,,200,20,15,20,10,55,80,,Very Weak (<300),Water,False,0.3,1.4000000000000001,Average
350,Milotic,Water,,540,95,60,79,100,125,81,,Strong (500-579),Water,False,56.3,89.0,Average
351,Castform,Water,,420,70,70,70,70,70,70,Rainy Form,Average (400-499),Water,False,41.6,46.1,Slow
351,Castform,Ice,,420,70,70,70,70,70,70,Snowy Form,Average (400-499),Ice,False,41.6,46.1,Slow
351,Castform,Fire,,420,70,70,70,70,70,70,Sunny Form,Average (400-499),Fire,False,41.6,46.1,Slow
351,Castform,Normal,,420,70,70,70,70,70,70,,Average (400-499),Normal,False,41.6,46.1,Slow
352,Kecleon,Normal,,440,60,90,70,60,120,40,,Average (400-499),Normal,False,50.3,67.5,Very Slow
353,Shuppet,Ghost,,295,44,75,35,63,33,45,,Very Weak (<300),Ghost,False,39.2,3.8,Very Slow
354,Banette,Ghost,,555,64,165,75,93,83,75,Mega,Strong (500-579),Ghost,False,96.6,53.5,Average
354,Banette,Ghost,,455,64,115,65,83,63,65,,Average (400-499),Ghost,False,81.2,37.9,Slow
355,Duskull,Ghost,,295,20,40,90,30,90,25,,Very Weak (<300),Ghost,False,4.3,41.0,Very Slow
356,Dusclops,Ghost,,455,40,70,130,60,130,25,,Average (400-499),Ghost,False,34.699999999999996,89.9,Very Slow
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,,Average (400-499),Grass / Flying,True,41.6,77.8,Slow
358,Chimecho,Psychic,,455,75,50,80,95,90,65,,Average (400-499),Psychic,False,46.0,64.9,Slow
359,Absol,Dark,,565,65,150,60,115,60,115,Mega,Strong (500-579),Dark,False,97.6,33.800000000000004,Fast
359,Absol,Dark,,465,65,130,60,75,60,75,,Average (400-499),Dark,False,85.2,33.800000000000004,Average
360,Wynaut,Psychic,,260,95,23,48,23,48,23,,Very Weak (<300),Psychic,False,1.0,37.6,Very Slow
361,Snorunt,Ice,,300,50,50,50,50,50,50,,Very Weak (<300),Ice,False,16.6,17.599999999999998,Slow
362,Glalie,Ice,,580,80,120,80,120,80,100,Mega,Strong (500-579),Ice,False,94.1,62.3,Average
362,Glalie,Ice,,480,80,80,80,80,80,80,,Average (400-499),Ice,False,56.3,62.3,Average
363,Spheal,Ice,Water,290,70,40,50,55,50,25,,Very Weak (<300),Ice / Water,True,13.8,26.900000000000002,Very Slow
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,,Average (400-499),Ice / Water,True,37.6,57.099999999999994,Very Slow
365,Walrein,Ice,Water,530,110,80,90,95,90,65,,Strong (500-579),Ice / Water,True,67.0,87.0,Slow
366,Clamperl,Water,,345,35,64,85,74,55,32,,Weak (300-399),Water,False,39.2,29.4,Very Slow
367,Huntail,Water,,485,55,104,105,94,75,52,,Average (400-499),Water,False,81.2,59.199999999999996,Slow
368,Gorebyss,Water,,485,55,84,105,114,75,52,,Average (400-499),Water,False,81.2,59.199999999999996,Slow
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,,Average (400-499),Water / Rock,True,37.6,88.4,Slow
370,Luvdisc,Water,,330,43,30,55,40,65,97,,Weak (300-399),Water,False,4.3,23.1,Average
371,Bagon,Dragon,,300,45,75,60,40,30,50,,Very Weak (<300),Dragon,False,25.7,11.5,Slow
372,Shelgon,Dragon,,420,65,95,100,60,50,50,,Average (400-499),Dragon,False,53.300000000000004,48.699999999999996,Slow
373,Salamence,Dragon,Flying,700,95,145,130,120,90,120,Mega,Very Strong (580-699),Dragon / Flying,True,97.6,93.5,Fast
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,,Very Strong (580-699),Dragon / Flying,True,94.8,70.39999999999999,Average
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,,Very Weak (<300),Steel / Psychic,True,10.8,31.6,Very Slow
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,,Average (400-499),Steel / Psychic,True,34.699999999999996,62.3,Slow
376,Metagross,Steel,Psychic,700,80,145,150,105,110,110,Mega,Very Strong (580-699),Steel / Psychic,True,95.6,97.1,Fast
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,,Very Strong (580-699),Steel / Psychic,True,92.7,89.9,Slow
377,Regirock,Rock,,580,80,100,200,50,100,50,,Strong (500-579),Rock,False,50.3,99.2,Slow
378,RegiceIce,Ice,,580,80,50,100,100,200,50,,Strong (500-579),Ice,False,50.3,99.2,Slow
379,Registeel,Steel,,580,80,75,150,75,150,50,,Strong (500-579),Steel,False,50.3,99.2,Slow
380,Latias,Dragon,Psychic,700,80,100,120,140,150,110,Mega,Very Strong (580-699),Dragon / Psychic,True,94.1,97.8,Fast
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,,Very Strong (580-699),Dragon / Psychic,True,76.3,89.9,Fast
381,Latios,Dragon,Psychic,700,80,130,100,160,120,110,Mega,Very Strong (580-699),Dragon / Psychic,True,99.0,89.9,Fast
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,,Very Strong (580-699),Dragon / Psychic,True,90.4,78.9,Fast
