b'# Name Type Total HP Attack Defense Sp. Atk Sp. Def Speed'
b'001 BulbasaurGrass Poison\n318\n45\n49\n49\n65\n65\n45'
b'300 SkittyNormal \n260\n50\n45\n45\n35\n35\n50'
b'301 DelcattyNormal \n400\n70\n65\n65\n55\n55\n90'
b'302 SableyeDark Ghost\n380\n50\n75\n75\n65\n65\n50'
b'302 Sableye Mega SableyeDark Ghost\n480\n50\n85\n125\n85\n115\n20'
b'303 MawileSteel Fairy\n380\n50\n85\n85\n55\n55\n50'
b'303 Mawile Mega MawileSteel Fairy\n480\n50\n105\n125\n55\n95\n50'
b'304 AronSteel Rock\n330\n50\n70\n100\n40\n40\n30'
b'305 LaironSteel Rock\n430\n60\n90\n140\n50\n50\n40'
b'306 AggronSteel Rock\n530\n70\n110\n180\n60\n60\n50'
b'306 Aggron Mega AggronSteel \n630\n70\n140\n230\n60\n80\n50'
b'307 MedititeFighting Psychic\n280\n30\n40\n55\n40\n55\n60'
b'308 MedichamFighting Psychic\n410\n60\n60\n75\n60\n75\n80'
b'308 Medicham Mega MedichamFighting Psychic\n510\n60\n100\n85\n80\n85\n100'
b'309 ElectrikeElectric \n295\n40\n45\n40\n65\n40\n65'
b'310 ManectricElectric \n475\n70\n75\n60\n105\n60\n105'
b'310 Manectric Mega ManectricElectric \n575\n70\n75\n80\n135\n80\n135'
b'311 PlusleElectric \n405\n60\n50\n40\n85\n75\n95'
b'312 MinunElectric \n405\n60\n40\n50\n75\n85\n95'
b'313 VolbeatBug \n430\n65\n73\n75\n47\n85\n85'
b'314 IllumiseBug \n430\n65\n47\n75\n73\n85\n85'
b'315 RoseliaGrass Poison\n400\n50\n60\n45\n100\n80\n65'
b'316 GulpinPoison \n302\n70\n43\n53\n43\n53\n40'
b'317 SwalotPoison \n467\n100\n73\n83\n73\n83\n55'
b'318 CarvanhaWater Dark\n305\n45\n90\n20\n65\n20\n65'
b'319 SharpedoWater Dark\n460\n70\n120\n40\n95\n40\n95'
b'319 Sharpedo Mega SharpedoWater Dark\n560\n70\n140\n70\n110\n65\n105'
b'320 WailmerWater \n400\n130\n70\n35\n70\n35\n60'
b'321 WailordWater \n500\n170\n90\n45\n90\n45\n60'
b'322 NumelFire Ground\n305\n60\n60\n40\n65\n45\n35'
b'323 CameruptFire Ground\n460\n70\n100\n70\n105\n75\n40'
b'323 Camerupt Mega CameruptFire Ground\n560\n70\n120\n100\n145\n105\n20'
b'324 TorkoalFire \n470\n70\n85\n140\n85\n70\n20'
b'325 SpoinkPsychic \n330\n60\n25\n35\n70\n80\n60'
b'326 GrumpigPsychic \n470\n80\n45\n65\n90\n110\n80'
b'327 SpindaNormal \n360\n60\n60\n60\n60\n60\n60'
b'328 TrapinchGround \n290\n45\n100\n45\n45\n45\n10'
b'329 VibravaGround Dragon\n340\n50\n70\n50\n50\n50\n70'
b'330 FlygonGround Dragon\n520\n80\n100\n80\n80\n80\n100'
b'331 CacneaGrass \n335\n50\n85\n40\n85\n40\n35'
b'332 CacturneGrass Dark\n475\n70\n115\n60\n115\n60\n55'
b'333 SwabluNormal Flying\n310\n45\n40\n60\n40\n75\n50'
b'334 AltariaDragon Flying\n490\n75\n70\n90\n70\n105\n80'
b'334 Altaria Mega AltariaDragon Fairy\n590\n75\n110\n110\n110\n105\n80'
b'335 ZangooseNormal \n458\n73\n115\n60\n60\n60\n90'
b'336 SeviperPoison \n458\n73\n100\n60\n100\n60\n65'
b'337 LunatoneRock Psychic\n460\n90\n55\n65\n95\n85\n70'
b'338 SolrockRock Psychic\n460\n90\n95\n85\n55\n65\n70'
b'339 BarboachWater Ground\n288\n50\n48\n43\n46\n41\n60'
b'340 WhiscashWater Ground\n468\n110\n78\n73\n76\n71\n60'
b'341 CorphishWater \n308\n43\n80\n65\n50\n35\n35'
b'342 CrawdauntWater Dark\n468\n63\n120\n85\n90\n55\n55'
b'343 BaltoyGround Psychic\n300\n40\n40\n55\n40\n70\n55'
b'344 ClaydolGround Psychic\n500\n60\n70\n105\n70\n120\n75'
b'345 LileepRock Grass\n355\n66\n41\n77\n61\n87\n23'
b'346 CradilyRock Grass\n495\n86\n81\n97\n81\n107\n43'
b'347 AnorithRock Bug\n355\n45\n95\n50\n40\n50\n75'
b'348 ArmaldoRock Bug\n495\n75\n125\n100\n70\n80\n45'
b'349 FeebasWater \n200\n20\n15\n20\n10\n55\n80'
b'350 MiloticWater \n540\n95\n60\n79\n100\n125\n81'
b'351 CastformNormal \n420\n70\n70\n70\n70\n70\n70'
b'351 Castform Sunny FormFire \n420\n70\n70\n70\n70\n70\n70'
b'351 Castform Rainy FormWater \n420\n70\n70\n70\n70\n70\n70'
b'351 Castform Snowy FormIce \n420\n70\n70\n70\n70\n70\n70'
b'352 KecleonNormal \n440\n60\n90\n70\n60\n120\n40'
b'353 ShuppetGhost \n295\n44\n75\n35\n63\n33\n45'
b'354 BanetteGhost \n455\n64\n115\n65\n83\n63\n65'
b'354 Banette Mega BanetteGhost \n555\n64\n165\n75\n93\n83\n75'
b'355 DuskullGhost \n295\n20\n40\n90\n30\n90\n25'
b'356 DusclopsGhost \n455\n40\n70\n130\n60\n130\n25'
b'357 TropiusGrass Flying\n460\n99\n68\n83\n72\n87\n51'
b'358 ChimechoPsychic \n455\n75\n50\n80\n95\n90\n65'
b'359 AbsolDark \n465\n65\n130\n60\n75\n60\n75'
b'359 Absol Mega AbsolDark \n565\n65\n150\n60\n115\n60\n115'
b'360 WynautPsychic \n260\n95\n23\n48\n23\n48\n23'
b'361 SnoruntIce \n300\n50\n50\n50\n50\n50\n50'
b'362 GlalieIce \n480\n80\n80\n80\n80\n80\n80'
b'362 Glalie Mega GlalieIce \n580\n80\n120\n80\n120\n80\n100'
b'363 SphealIce Water\n290\n70\n40\n50\n55\n50\n25'
b'364 SealeoIce Water\n410\n90\n60\n70\n75\n70\n45'
b'365 WalreinIce Water\n530\n110\n80\n90\n95\n90\n65'
b'366 ClamperlWater \n345\n35\n64\n85\n74\n55\n32'
b'367 HuntailWater \n485\n55\n104\n105\n94\n75\n52'
b'368 GorebyssWater \n485\n55\n84\n105\n114\n75\n52'
b'369 RelicanthWater Rock\n485\n100\n90\n130\n45\n65\n55'
b'370 LuvdiscWater \n330\n43\n30\n55\n40\n65\n97'
b'371 BagonDragon \n300\n45\n75\n60\n40\n30\n50'
b'372 ShelgonDragon \n420\n65\n95\n100\n60\n50\n50'
b'373 SalamenceDragon Flying\n600\n95\n135\n80\n110\n80\n100'
b'373 Salamence Mega SalamenceDragon Flying\n700\n95\n145\n130\n120\n90\n120'
b'374 BeldumSteel Psychic\n300\n40\n55\n80\n35\n60\n30'
b'375 MetangSteel Psychic\n420\n60\n75\n100\n55\n80\n50'
b'376 MetagrossSteel Psychic\n600\n80\n135\n130\n95\n90\n70'
b'376 Metagross Mega MetagrossSteel Psychic\n700\n80\n145\n150\n105\n110\n110'
b'377 RegirockRock \n580\n80\n100\n200\n50\n100\n50'
b'378 RegiceIce \n580\n80\n50\n100\n100\n200\n50'
b'379 RegisteelSteel \n580\n80\n75\n150\n75\n150\n50'
b'380 LatiasDragon Psychic\n600\n80\n80\n90\n110\n130\n110'
b'380 Latias Mega LatiasDragon Psychic\n700\n80\n100\n120\n140\n150\n110'
b'381 LatiosDragon Psychic\n600\n80\n90\n80\n130\n110\n110'
b'381 Latios Mega LatiosDragon Psychic\n700\n80\n130\n100\n160\n120\n110'
b'382 KyogreWater \n670\n100\n100\n90\n150\n140\n90'
b'382 Kyogre Primal KyogreWater \n770\n100\n150\n90\n180\n160\n90'
b'383 GroudonGround \n670\n100\n150\n140\n100\n90\n90'
b'383 Groudon Primal GroudonGround Fire\n770\n100\n180\n160\n150\n90\n90'
b'384 RayquazaDragon Flying\n680\n105\n150\n90\n150\n90\n95'
b'384 Rayquaza Mega RayquazaDragon Flying\n780\n105\n180\n100\n180\n100\n115'
b'385 JirachiSteel Psychic\n600\n100\n100\n100\n100\n100\n100'
b'386 Deoxys Normal FormePsychic \n600\n50\n150\n50\n150\n50\n150'
b'386 Deoxys Attack FormePsychic \n600\n50\n180\n20\n180\n20\n150'
b'386 Deoxys Defense FormePsychic \n600\n50\n70\n160\n70\n160\n90'
b'386 Deoxys Speed FormePsychic \n600\n50\n95\n90\n95\n90\n180'
b'387 TurtwigGrass \n318\n55\n68\n64\n45\n55\n31'
b'388 GrotleGrass \n405\n75\n89\n85\n55\n65\n36'
b'389 TorterraGrass Ground\n525\n95\n109\n105\n75\n85\n56'
b'390 ChimcharFire \n309\n44\n58\n44\n58\n44\n61'
b'391 MonfernoFire Fighting\n405\n64\n78\n52\n78\n52\n81'
b'392 InfernapeFire Fighting\n534\n76\n104\n71\n104\n71\n108'
b'393 PiplupWater \n314\n53\n51\n53\n61\n56\n40'
b'394 PrinplupWater \n405\n64\n66\n68\n81\n76\n50'
b'395 EmpoleonWater Steel\n530\n84\n86\n88\n111\n101\n60'
b'396 StarlyNormal Flying\n245\n40\n55\n30\n30\n30\n60'
b'397 StaraviaNormal Flying\n340\n55\n75\n50\n40\n40\n80'
b'398 StaraptorNormal Flying\n485\n85\n120\n70\n50\n60\n100'
b'399 BidoofNormal \n250\n59\n45\n40\n35\n40\n31'
b'400 BibarelNormal Water\n410\n79\n85\n60\n55\n60\n71'
b'401 KricketotBug \n194\n37\n25\n41\n25\n41\n25'
b'402 KricketuneBug \n384\n77\n85\n51\n55\n51\n65'
b'403 ShinxElectric \n263\n45\n65\n34\n40\n34\n45'
b'404 LuxioElectric \n363\n60\n85\n49\n60\n49\n60'
b'405 LuxrayElectric \n523\n80\n120\n79\n95\n79\n70'
b'406 BudewGrass Poison\n280\n40\n30\n35\n50\n70\n55'
b'407 RoseradeGrass Poison\n515\n60\n70\n65\n125\n105\n90'
b'408 CranidosRock \n350\n67\n125\n40\n30\n30\n58'
b'409 RampardosRock \n495\n97\n165\n60\n65\n50\n58'
b'410 ShieldonRock Steel\n350\n30\n42\n118\n42\n88\n30'
b'411 BastiodonRock Steel\n495\n60\n52\n168\n47\n138\n30'
b'412 Burmy Plant CloakBug \n224\n40\n29\n45\n29\n45\n36'
b'412 Burmy Sandy CloakBug \n224\n40\n29\n45\n29\n45\n36'
b'412 Burmy Trash CloakBug \n224\n40\n29\n45\n29\n45\n36'
b'413 Wormadam Plant CloakBug Grass\n424\n60\n59\n85\n79\n105\n36'
b'413 Wormadam Sandy CloakBug Ground\n424\n60\n79\n105\n59\n85\n36'
b'413 Wormadam Trash CloakBug Steel\n424\n60\n69\n95\n69\n95\n36'
b'414 MothimBug Flying\n424\n70\n94\n50\n94\n50\n66'
b'415 CombeeBug Flying\n244\n30\n30\n42\n30\n42\n70'
b'416 VespiquenBug Flying\n474\n70\n80\n102\n80\n102\n40'
b'417 PachirisuElectric \n405\n60\n45\n70\n45\n90\n95'
b'418 BuizelWater \n330\n55\n65\n35\n60\n30\n85'
b'419 FloatzelWater \n495\n85\n105\n55\n85\n50\n115'
b'420 CherubiGrass \n275\n45\n35\n45\n62\n53\n35'
b'421 CherrimGrass \n450\n70\n60\n70\n87\n78\n85'
b'422 ShellosWater \n325\n76\n48\n48\n57\n62\n34'
b'423 GastrodonWater Ground\n475\n111\n83\n68\n92\n82\n39'
b'424 AmbipomNormal \n482\n75\n100\n66\n60\n66\n115'
b'425 DrifloonGhost Flying\n348\n90\n50\n34\n60\n44\n70'
b'426 DrifblimGhost Flying\n498\n150\n80\n44\n90\n54\n80'
b'427 BunearyNormal \n350\n55\n66\n44\n44\n56\n85'
b'428 LopunnyNormal \n480\n65\n76\n84\n54\n96\n105'
b'428 Lopunny Mega LopunnyNormal Fighting\n580\n65\n136\n94\n54\n96\n135'
b'429 MismagiusGhost \n495\n60\n60\n60\n105\n105\n105'
b'430 HonchkrowDark Flying\n505\n100\n125\n52\n105\n52\n71'
b'431 GlameowNormal \n310\n49\n55\n42\n42\n37\n85'
b'432 PuruglyNormal \n452\n71\n82\n64\n64\n59\n112'
b'433 ChinglingPsychic \n285\n45\n30\n50\n65\n50\n45'
b'434 StunkyPoison Dark\n329\n63\n63\n47\n41\n41\n74'
b'435 SkuntankPoison Dark\n479\n103\n93\n67\n71\n61\n84'
b'436 BronzorSteel Psychic\n300\n57\n24\n86\n24\n86\n23'
b'437 BronzongSteel Psychic\n500\n67\n89\n116\n79\n116\n33'
b'438 BonslyRock \n290\n50\n80\n95\n10\n45\n10'
b'439 Mime Jr.Psychic Fairy\n310\n20\n25\n45\n70\n90\n60'
b'440 HappinyNormal \n220\n100\n5\n5\n15\n65\n30'
b'441 ChatotNormal Flying\n411\n76\n65\n45\n92\n42\n91'
b'442 SpiritombGhost Dark\n485\n50\n92\n108\n92\n108\n35'
b'443 GibleDragon Ground\n300\n58\n70\n45\n40\n45\n42'
b'444 GabiteDragon Ground\n410\n68\n90\n65\n50\n55\n82'
b'445 GarchompDragon Ground\n600\n108\n130\n95\n80\n85\n102'
b'445 Garchomp Mega GarchompDragon Ground\n700\n108\n170\n115\n120\n95\n92'
b'446 MunchlaxNormal \n390\n135\n85\n40\n40\n85\n5'
b'447 RioluFighting \n285\n40\n70\n40\n35\n40\n60'
b'448 LucarioFighting Steel\n525\n70\n110\n70\n115\n70\n90'
b'448 Lucario Mega LucarioFighting Steel\n625\n70\n145\n88\n140\n70\n112'
b'449 HippopotasGround \n330\n68\n72\n78\n38\n42\n32'
b'450 HippowdonGround \n525\n108\n112\n118\n68\n72\n47'
b'451 SkorupiPoison Bug\n330\n40\n50\n90\n30\n55\n65'
b'452 DrapionPoison Dark\n500\n70\n90\n110\n60\n75\n95'
b'453 CroagunkPoison Fighting\n300\n48\n61\n40\n61\n40\n50'
b'454 ToxicroakPoison Fighting\n490\n83\n106\n65\n86\n65\n85'
b'455 CarnivineGrass \n454\n74\n100\n72\n90\n72\n46'
b'456 FinneonWater \n330\n49\n49\n56\n49\n61\n66'
b'457 LumineonWater \n460\n69\n69\n76\n69\n86\n91'
b'458 MantykeWater Flying\n345\n45\n20\n50\n60\n120\n50'
b'459 SnoverGrass Ice\n334\n60\n62\n50\n62\n60\n40'
b'460 AbomasnowGrass Ice\n494\n90\n92\n75\n92\n85\n60'
b'460 Abomasnow Mega AbomasnowGrass Ice\n594\n90\n132\n105\n132\n105\n30'
b'461 WeavileDark Ice\n510\n70\n120\n65\n45\n85\n125'
b'462 MagnezoneElectric Steel\n535\n70\n70\n115\n130\n90\n60'
b'463 LickilickyNormal \n515\n110\n85\n95\n80\n95\n50'
b'464 RhyperiorGround Rock\n535\n115\n140\n130\n55\n55\n40'
b'465 TangrowthGrass \n535\n100\n100\n125\n110\n50\n50'
b'466 ElectivireElectric \n540\n75\n123\n67\n95\n85\n95'
b'467 MagmortarFire \n540\n75\n95\n67\n125\n95\n83'
b'468 TogekissFairy Flying\n545\n85\n50\n95\n120\n115\n80'
b'469 YanmegaBug Flying\n515\n86\n76\n86\n116\n56\n95'
b'470 LeafeonGrass \n525\n65\n110\n130\n60\n65\n95'
b'471 GlaceonIce \n525\n65\n60\n110\n130\n95\n65'
b'472 GliscorGround Flying\n510\n75\n95\n125\n45\n75\n95'
b'473 MamoswineIce Ground\n530\n110\n130\n80\n70\n60\n80'
b'474 Porygon-ZNormal \n535\n85\n80\n70\n135\n75\n90'
b'475 GalladePsychic Fighting\n518\n68\n125\n65\n65\n115\n80'
b'475 Gallade Mega GalladePsychic Fighting\n618\n68\n165\n95\n65\n115\n110'
b'476 ProbopassRock Steel\n525\n60\n55\n145\n75\n150\n40'
b'477 DusknoirGhost \n525\n45\n100\n135\n65\n135\n45'
b'478 FroslassIce Ghost\n480\n70\n80\n70\n80\n70\n110'
b'479 RotomElectric Ghost\n440\n50\n50\n77\n95\n77\n91'
b'479 Rotom Heat RotomElectric Fire\n520\n50\n65\n107\n105\n107\n86'
b'479 Rotom Wash RotomElectric Water\n520\n50\n65\n107\n105\n107\n86'
b'479 Rotom Frost RotomElectric Ice\n520\n50\n65\n107\n105\n107\n86'
b'479 Rotom Fan RotomElectric Flying\n520\n50\n65\n107\n105\n107\n86'
b'479 Rotom Mow RotomElectric Grass\n520\n50\n65\n107\n105\n107\n86'
b'480 UxiePsychic \n580\n75\n75\n130\n75\n130\n95'
b'481 MespritPsychic \n580\n80\n105\n105\n105\n105\n80'
b'482 AzelfPsychic \n580\n75\n125\n70\n125\n70\n115'
b'483 DialgaSteel Dragon\n680\n100\n120\n120\n150\n100\n90'
b'483 Dialga Origin FormeSteel Dragon\n680\n100\n100\n120\n150\n120\n90'
b'484 PalkiaWater Dragon\n680\n90\n120\n100\n150\n120\n100'
b'484 Palkia Origin FormeWater Dragon\n680\n90\n100\n100\n150\n120\n120'
b'485 HeatranFire Steel\n600\n91\n90\n106\n130\n106\n77'
b'486 RegigigasNormal \n670\n110\n160\n110\n80\n110\n100'
b'487 Giratina Altered FormeGhost Dragon\n680\n150\n100\n120\n100\n120\n90'
b'487 Giratina Origin FormeGhost Dragon\n680\n150\n120\n100\n120\n100\n90'
b'488 CresseliaPsychic \n580\n120\n70\n110\n75\n120\n85'
b'489 PhioneWater \n480\n80\n80\n80\n80\n80\n80'
b'490 ManaphyWater \n600\n100\n100\n100\n100\n100\n100'
b'491 DarkraiDark \n600\n70\n90\n90\n135\n90\n125'
b'492 Shaymin Land FormeGrass \n600\n100\n100\n100\n100\n100\n100'
b'492 Shaymin Sky FormeGrass Flying\n600\n100\n103\n75\n120\n75\n127'
b'493 ArceusNormal \n720\n120\n120\n120\n120\n120\n120'
b'494 VictiniPsychic Fire\n600\n100\n100\n100\n100\n100\n100'
b'495 SnivyGrass \n308\n45\n45\n55\n45\n55\n63'
b'496 ServineGrass \n413\n60\n60\n75\n60\n75\n83'
b'497 SerperiorGrass \n528\n75\n75\n95\n75\n95\n113'
b'498 TepigFire \n308\n65\n63\n45\n45\n45\n45'
b'499 PigniteFire Fighting\n418\n90\n93\n55\n70\n55\n55'
b'500 EmboarFire Fighting\n528\n110\n123\n65\n100\n65\n65'
b'501 OshawottWater \n308\n55\n55\n45\n63\n45\n45'
b'502 DewottWater \n413\n75\n75\n60\n83\n60\n60'
b'503 SamurottWater \n528\n95\n100\n85\n108\n70\n70'
b'503 Samurott Hisuian SamurottWater Dark\n528\n90\n108\n80\n100\n65\n85'
b'504 PatratNormal \n255\n45\n55\n39\n35\n39\n42'
b'505 WatchogNormal \n420\n60\n85\n69\n60\n69\n77'
b'506 LillipupNormal \n275\n45\n60\n45\n25\n45\n55'
b'507 HerdierNormal \n370\n65\n80\n65\n35\n65\n60'
b'508 StoutlandNormal \n500\n85\n110\n90\n45\n90\n80'
b'509 PurrloinDark \n281\n41\n50\n37\n50\n37\n66'
b'510 LiepardDark \n446\n64\n88\n50\n88\n50\n106'
b'511 PansageGrass \n316\n50\n53\n48\n53\n48\n64'
b'512 SimisageGrass \n498\n75\n98\n63\n98\n63\n101'
b'513 PansearFire \n316\n50\n53\n48\n53\n48\n64'
b'514 SimisearFire \n498\n75\n98\n63\n98\n63\n101'
b'515 PanpourWater \n316\n50\n53\n48\n53\n48\n64'
b'516 SimipourWater \n498\n75\n98\n63\n98\n63\n101'
b'517 MunnaPsychic \n292\n76\n25\n45\n67\n55\n24'
b'518 MusharnaPsychic \n487\n116\n55\n85\n107\n95\n29'
b'519 PidoveNormal Flying\n264\n50\n55\n50\n36\n30\n43'
b'520 TranquillNormal Flying\n358\n62\n77\n62\n50\n42\n65'
b'521 UnfezantNormal Flying\n488\n80\n115\n80\n65\n55\n93'
b'522 BlitzleElectric \n295\n45\n60\n32\n50\n32\n76'
b'523 ZebstrikaElectric \n497\n75\n100\n63\n80\n63\n116'
b'524 RoggenrolaRock \n280\n55\n75\n85\n25\n25\n15'
b'525 BoldoreRock \n390\n70\n105\n105\n50\n40\n20'
b'526 GigalithRock \n515\n85\n135\n130\n60\n80\n25'
b'527 WoobatPsychic Flying\n323\n65\n45\n43\n55\n43\n72'
b'528 SwoobatPsychic Flying\n425\n67\n57\n55\n77\n55\n114'
b'529 DrilburGround \n328\n60\n85\n40\n30\n45\n68'
b'530 ExcadrillGround Steel\n508\n110\n135\n60\n50\n65\n88'
b'531 AudinoNormal \n445\n103\n60\n86\n60\n86\n50'
b'531 Audino Mega AudinoNormal Fairy\n545\n103\n60\n126\n80\n126\n50'
b'532 TimburrFighting \n305\n75\n80\n55\n25\n35\n35'
b'533 GurdurrFighting \n405\n85\n105\n85\n40\n50\n40'
b'534 ConkeldurrFighting \n505\n105\n140\n95\n55\n65\n45'
b'535 TympoleWater \n294\n50\n50\n40\n50\n40\n64'
b'536 PalpitoadWater Ground\n384\n75\n65\n55\n65\n55\n69'
b'537 SeismitoadWater Ground\n509\n105\n95\n75\n85\n75\n74'
b'538 ThrohFighting \n465\n120\n100\n85\n30\n85\n45'
b'539 SawkFighting \n465\n75\n125\n75\n30\n75\n85'
b'540 SewaddleBug Grass\n310\n45\n53\n70\n40\n60\n42'
b'541 SwadloonBug Grass\n380\n55\n63\n90\n50\n80\n42'
b'542 LeavannyBug Grass\n500\n75\n103\n80\n70\n80\n92'
b'543 VenipedeBug Poison\n260\n30\n45\n59\n30\n39\n57'
b'544 WhirlipedeBug Poison\n360\n40\n55\n99\n40\n79\n47'
b'545 ScolipedeBug Poison\n485\n60\n100\n89\n55\n69\n112'
b'546 CottoneeGrass Fairy\n280\n40\n27\n60\n37\n50\n66'
b'547 WhimsicottGrass Fairy\n480\n60\n67\n85\n77\n75\n116'
b'548 PetililGrass \n280\n45\n35\n50\n70\n50\n30'
b'549 LilligantGrass \n480\n70\n60\n75\n110\n75\n90'
b'549 Lilligant Hisuian LilligantGrass Fighting\n480\n70\n105\n75\n50\n75\n105'
b'550 Basculin Red-Striped FormWater \n460\n70\n92\n65\n80\n55\n98'
b'550 Basculin Blue-Striped FormWater \n460\n70\n92\n65\n80\n55\n98'
b'550 Basculin White-Striped FormWater \n460\n70\n92\n65\n80\n55\n98'
b'551 SandileGround Dark\n292\n50\n72\n35\n35\n35\n65'
b'552 KrokorokGround Dark\n351\n60\n82\n45\n45\n45\n74'
b'553 KrookodileGround Dark\n519\n95\n117\n80\n65\n70\n92'
b'554 DarumakaFire \n315\n70\n90\n45\n15\n45\n50'
b'554 Darumaka Galarian DarumakaIce \n315\n70\n90\n45\n15\n45\n50'
b'555 Darmanitan Standard ModeFire \n480\n105\n140\n55\n30\n55\n95'
b'555 Darmanitan Zen ModeFire Psychic\n540\n105\n30\n105\n140\n105\n55'
b'555 Darmanitan Galarian Standard ModeIce \n480\n105\n140\n55\n30\n55\n95'
b'555 Darmanitan Galarian Zen ModeIce Fire\n540\n105\n160\n55\n30\n55\n135'
b'556 MaractusGrass \n461\n75\n86\n67\n106\n67\n60'
b'557 DwebbleBug Rock\n325\n50\n65\n85\n35\n35\n55'
b'558 CrustleBug Rock\n485\n70\n105\n125\n65\n75\n45'
b'559 ScraggyDark Fighting\n348\n50\n75\n70\n35\n70\n48'
b'560 ScraftyDark Fighting\n488\n65\n90\n115\n45\n115\n58'
b'561 SigilyphPsychic Flying\n490\n72\n58\n80\n103\n80\n97'
b'562 YamaskGhost \n303\n38\n30\n85\n55\n65\n30'
b'562 Yamask Galarian YamaskGround Ghost\n303\n38\n55\n85\n30\n65\n30'
b'563 CofagrigusGhost \n483\n58\n50\n145\n95\n105\n30'
b'564 TirtougaWater Rock\n355\n54\n78\n103\n53\n45\n22'
b'565 CarracostaWater Rock\n495\n74\n108\n133\n83\n65\n32'
b'566 ArchenRock Flying\n401\n55\n112\n45\n74\n45\n70'
b'567 ArcheopsRock Flying\n567\n75\n140\n65\n112\n65\n110'
b'568 TrubbishPoison \n329\n50\n50\n62\n40\n62\n65'
b'569 GarbodorPoison \n474\n80\n95\n82\n60\n82\n75'
b'570 ZoruaDark \n330\n40\n65\n40\n80\n40\n65'
b'570 Zorua Hisuian ZoruaNormal Ghost\n330\n35\n60\n40\n85\n40\n70'
b'571 ZoroarkDark \n510\n60\n105\n60\n120\n60\n105'
b'571 Zoroark Hisuian ZoroarkNormal Ghost\n510\n60\n105\n60\n120\n60\n105'
b'572 MinccinoNormal \n300\n55\n50\n40\n40\n40\n75'
b'573 CinccinoNormal \n470\n75\n95\n60\n65\n60\n115'
b'574 GothitaPsychic \n290\n45\n30\n50\n55\n65\n45'
b'575 GothoritaPsychic \n390\n60\n45\n70\n75\n85\n55'
b'576 GothitellePsychic \n490\n70\n55\n95\n95\n110\n65'
b'577 SolosisPsychic \n290\n45\n30\n40\n105\n50\n20'
b'578 DuosionPsychic \n370\n65\n40\n50\n125\n60\n30'
b'579 ReuniclusPsychic \n490\n110\n65\n75\n125\n85\n30'
b'580 DucklettWater Flying\n305\n62\n44\n50\n44\n50\n55'
b'581 SwannaWater Flying\n473\n75\n87\n63\n87\n63\n98'
b'582 VanilliteIce \n305\n36\n50\n50\n65\n60\n44'
b'583 VanillishIce \n395\n51\n65\n65\n80\n75\n59'
b'584 VanilluxeIce \n535\n71\n95\n85\n110\n95\n79'
b'585 DeerlingNormal Grass\n335\n60\n60\n50\n40\n50\n75'
b'586 SawsbuckNormal Grass\n475\n80\n100\n70\n60\n70\n95'
b'587 EmolgaElectric Flying\n428\n55\n75\n60\n75\n60\n103'
b'588 KarrablastBug \n315\n50\n75\n45\n40\n45\n60'
b'589 EscavalierBug Steel\n495\n70\n135\n105\n60\n105\n20'
b'590 FoongusGrass Poison\n294\n69\n55\n45\n55\n55\n15'
b'591 AmoongussGrass Poison\n464\n114\n85\n70\n85\n80\n30'
b'592 FrillishWater Ghost\n335\n55\n40\n50\n65\n85\n40'
b'593 JellicentWater Ghost\n480\n100\n60\n70\n85\n105\n60'
b'594 AlomomolaWater \n470\n165\n75\n80\n40\n45\n65'
b'595 JoltikBug Electric\n319\n50\n47\n50\n57\n50\n65'
b'596 GalvantulaBug Electric\n472\n70\n77\n60\n97\n60\n108'
b'597 FerroseedGrass Steel\n305\n44\n50\n91\n24\n86\n10'
b'598 FerrothornGrass Steel\n489\n74\n94\n131\n54\n116\n20'
b'599 KlinkSteel \n300\n40\n55\n70\n45\n60\n30'
b'600 KlangSteel \n440\n60\n80\n95\n70\n85\n50'
b'601 KlinklangSteel \n520\n60\n100\n115\n70\n85\n90'
b'602 TynamoElectric \n275\n35\n55\n40\n45\n40\n60'
b'603 EelektrikElectric \n405\n65\n85\n70\n75\n70\n40'
b'604 EelektrossElectric \n515\n85\n115\n80\n105\n80\n50'
b'605 ElgyemPsychic \n335\n55\n55\n55\n85\n55\n30'
b'606 BeheeyemPsychic \n485\n75\n75\n75\n125\n95\n40'
b'607 LitwickGhost Fire\n275\n50\n30\n55\n65\n55\n20'
b'608 LampentGhost Fire\n370\n60\n40\n60\n95\n60\n55'
b'609 ChandelureGhost Fire\n520\n60\n55\n90\n145\n90\n80'
b'610 AxewDragon \n320\n46\n87\n60\n30\n40\n57'
b'611 FraxureDragon \n410\n66\n117\n70\n40\n50\n67'
b'612 HaxorusDragon \n540\n76\n147\n90\n60\n70\n97'
b'613 CubchooIce \n305\n55\n70\n40\n60\n40\n40'
b'614 BearticIce \n505\n95\n130\n80\n70\n80\n50'
b'615 CryogonalIce \n515\n80\n50\n50\n95\n135\n105'
b'616 ShelmetBug \n305\n50\n40\n85\n40\n65\n25'
b'617 AccelgorBug \n495\n80\n70\n40\n100\n60\n145'
b'618 StunfiskGround Electric\n471\n109\n66\n84\n81\n99\n32'
b'618 Stunfisk Galarian StunfiskGround Steel\n471\n109\n81\n99\n66\n84\n32'
b'619 MienfooFighting \n350\n45\n85\n50\n55\n50\n65'
b'620 MienshaoFighting \n510\n65\n125\n60\n95\n60\n105'
b'621 DruddigonDragon \n485\n77\n120\n90\n60\n90\n48'
b'622 GolettGround Ghost\n303\n59\n74\n50\n35\n50\n35'
